plate	round	well	tile	z	channel
1	1	A1	127	0	561_nm
1	1	A1	127	0	638_nm
1	1	A1	128	0	405_nm
1	1	A1	128	0	488_nm
1	1	A1	128	0	561_nm
1	1	A1	128	0	638_nm
1	1	A1	129	0	405_nm
1	1	A1	129	0	488_nm
1	1	A1	129	0	561_nm
1	1	A1	129	0	638_nm
1	1	A1	130	0	405_nm
1	1	A1	130	0	488_nm
1	1	A1	130	0	561_nm
1	1	A1	130	0	638_nm
1	1	A1	131	0	405_nm
1	1	A1	131	0	488_nm
1	1	A1	131	0	561_nm
1	1	A1	131	0	638_nm
1	1	A1	132	0	405_nm
1	1	A1	132	0	488_nm
1	1	A1	132	0	561_nm
1	1	A1	132	0	638_nm
1	1	A1	133	0	405_nm
1	1	A1	133	0	488_nm
1	1	A1	133	0	561_nm
1	1	A1	133	0	638_nm
1	1	A1	134	0	405_nm
1	1	A1	134	0	488_nm
1	1	A1	134	0	561_nm
1	1	A1	134	0	638_nm
1	1	A1	135	0	405_nm
1	1	A1	135	0	488_nm
1	1	A1	135	0	561_nm
1	1	A1	135	0	638_nm
1	1	A1	136	0	405_nm
1	1	A1	136	0	488_nm
1	1	A1	136	0	561_nm
1	1	A1	136	0	638_nm
1	1	A1	137	0	405_nm
1	1	A1	137	0	488_nm
1	1	A1	137	0	561_nm
1	1	A1	137	0	638_nm
1	1	A1	138	0	405_nm
1	1	A1	138	0	488_nm
1	1	A1	138	0	561_nm
1	1	A1	138	0	638_nm
1	1	A1	139	0	405_nm
1	1	A1	139	0	488_nm
1	1	A1	139	0	561_nm
1	1	A1	139	0	638_nm
1	1	A1	140	0	405_nm
1	1	A1	140	0	488_nm
1	1	A1	140	0	561_nm
1	1	A1	140	0	638_nm
1	1	A1	141	0	405_nm
1	1	A1	141	0	488_nm
1	1	A1	141	0	561_nm
1	1	A1	141	0	638_nm
1	1	A1	142	0	405_nm
1	1	A1	142	0	488_nm
1	1	A1	142	0	561_nm
1	1	A1	142	0	638_nm
1	1	A1	143	0	405_nm
1	1	A1	143	0	488_nm
1	1	A1	143	0	561_nm
1	1	A1	143	0	638_nm
1	1	A1	144	0	405_nm
1	1	A1	144	0	488_nm
1	1	A1	144	0	561_nm
1	1	A1	144	0	638_nm
1	1	A1	145	0	405_nm
1	1	A1	145	0	488_nm
1	1	A1	145	0	561_nm
1	1	A1	145	0	638_nm
1	1	A1	146	0	405_nm
1	1	A1	146	0	488_nm
1	1	A1	146	0	561_nm
1	1	A1	146	0	638_nm
1	1	A1	147	0	405_nm
1	1	A1	147	0	488_nm
1	1	A1	147	0	561_nm
1	1	A1	147	0	638_nm
1	1	A1	148	0	405_nm
1	1	A1	148	0	488_nm
1	1	A1	148	0	561_nm
1	1	A1	148	0	638_nm
1	1	A1	149	0	405_nm
1	1	A1	149	0	488_nm
1	1	A1	149	0	561_nm
1	1	A1	149	0	638_nm
1	1	A1	150	0	405_nm
1	1	A1	150	0	488_nm
1	1	A1	150	0	561_nm
1	1	A1	150	0	638_nm
1	1	A1	151	0	405_nm
1	1	A1	151	0	488_nm
1	1	A1	151	0	561_nm
1	1	A1	151	0	638_nm
1	1	A1	152	0	405_nm
1	1	A1	152	0	488_nm
1	1	A1	152	0	561_nm
1	1	A1	152	0	638_nm
1	1	A1	153	0	405_nm
1	1	A1	153	0	488_nm
1	1	A1	153	0	561_nm
1	1	A1	153	0	638_nm
1	1	A1	154	0	405_nm
1	1	A1	154	0	488_nm
1	1	A1	154	0	561_nm
1	1	A1	154	0	638_nm
1	1	A1	155	0	405_nm
1	1	A1	155	0	488_nm
1	1	A1	155	0	561_nm
1	1	A1	155	0	638_nm
1	1	A1	156	0	405_nm
1	1	A1	156	0	488_nm
1	1	A1	156	0	561_nm
1	1	A1	156	0	638_nm
1	1	A1	157	0	405_nm
1	1	A1	157	0	488_nm
1	1	A1	157	0	561_nm
1	1	A1	157	0	638_nm
1	1	A1	158	0	405_nm
1	1	A1	158	0	488_nm
1	1	A1	158	0	561_nm
1	1	A1	158	0	638_nm
1	1	A1	159	0	405_nm
1	1	A1	159	0	488_nm
1	1	A1	159	0	561_nm
1	1	A1	159	0	638_nm
1	1	A1	160	0	405_nm
1	1	A1	160	0	488_nm
1	1	A1	160	0	561_nm
1	1	A1	160	0	638_nm
1	1	A1	161	0	405_nm
1	1	A1	161	0	488_nm
1	1	A1	161	0	561_nm
1	1	A1	161	0	638_nm
1	1	A1	162	0	405_nm
1	1	A1	162	0	488_nm
1	1	A1	162	0	561_nm
1	1	A1	162	0	638_nm
1	1	A1	163	0	405_nm
1	1	A1	163	0	488_nm
1	1	A1	163	0	561_nm
1	1	A1	163	0	638_nm
1	1	A1	164	0	405_nm
1	1	A1	164	0	488_nm
1	1	A1	164	0	561_nm
1	1	A1	164	0	638_nm
1	1	A1	165	0	405_nm
1	1	A1	165	0	488_nm
1	1	A1	165	0	561_nm
1	1	A1	165	0	638_nm
1	1	A1	166	0	405_nm
1	1	A1	166	0	488_nm
1	1	A1	166	0	561_nm
1	1	A1	166	0	638_nm
1	1	A1	167	0	405_nm
1	1	A1	167	0	488_nm
1	1	A1	167	0	561_nm
1	1	A1	167	0	638_nm
1	1	A1	168	0	405_nm
1	1	A1	168	0	488_nm
1	1	A1	168	0	561_nm
1	1	A1	168	0	638_nm
1	1	A1	169	0	405_nm
1	1	A1	169	0	488_nm
1	1	A1	169	0	561_nm
1	1	A1	169	0	638_nm
1	1	A1	170	0	405_nm
1	1	A1	170	0	488_nm
1	1	A1	170	0	561_nm
1	1	A1	170	0	638_nm
1	1	A1	171	0	405_nm
1	1	A1	171	0	488_nm
1	1	A1	171	0	561_nm
1	1	A1	171	0	638_nm
1	1	A1	172	0	405_nm
1	1	A1	172	0	488_nm
1	1	A1	172	0	561_nm
1	1	A1	172	0	638_nm
1	1	A1	173	0	405_nm
1	1	A1	173	0	488_nm
1	1	A1	173	0	561_nm
1	1	A1	173	0	638_nm
1	1	A1	174	0	405_nm
1	1	A1	174	0	488_nm
